map_id,handle,role_id,display_name,source_query,sprite_name,width,height,spawn_x,spawn_y,state,quest_state,guild_name,guild_pic,kind
1,1000542608713897,,一心长态,npc/一心长态.swf,yixinchangtai,81,117,320,534,0,2,,,
1,9000542609558425,,通天八卦炉<ma>,npc/通天八卦炉.swf,bagualu,174,220,625,440,0,0,,,
1,2000542608832485,,蒙达英,npc/蒙达英[兄].swf,mengdaying,57,134,848,430,0,3,,,
1,3000542609015823,,蒙达悟,npc/蒙达悟[弟].swf,mengdawu,57,127,1092,410,0,2,,,
1,4000542609162635,,布衣娘,npc/布衣娘.swf,buyiniang,55,128,1408,432,0,0,,,
1,1100542609593728,,交易行管理员,npc/交易行管理员.swf,jiaoyihang,46,106,1759,450,0,0,,,
1,5000542609232627,,卢掌柜,npc/卢掌柜.swf,luzhanggui,71,120,1916,450,0,2,,,
1,6000542609425103,,南风先生,npc/南风先生.swf,nanfeng,48,107,2228,423,0,2,,,
1,1200542609639689,,妖术狐狸,npc/狐狸.swf,huli,48,48,2517,451,0,0,,,
1,7000542609490978,,丑七品,npc/七品.swf,qipin,81,124,2773,432,0,2,,,
1,1000542609582165,,排行告示,npc/公告牌.swf,gonggaopai,136,149,3000,400,0,0,,,
1,8000542609527450,,VIP大使,npc/other/节日大使.swf,jieridashi,117,151,2421,468,0,0,,,
2,4180542615109515,,交易行管理员,npc/交易行管理员.swf,jiaoyihang,46,106,2162,465,0,0,,,
2,4190542615111877,,通天八卦炉<ma>,npc/通天八卦炉.swf,bagualu,174,220,780,465,0,0,,,
2,4130542614832797,,炎衣娘,npc/炎衣娘.swf,yanyiniang,55,128,1026,481,0,2,,,
2,4110542614676637,,无颜,npc/无颜.swf,wuyan,48,107,1781,463,0,1,,,
2,4160542615098838,,排行告示,npc/公告牌.swf,gonggaopai,136,149,2670,285,0,0,,,
2,4090542614314425,,丑六品,npc/六品.swf,liupin,81,124,2868,310,0,2,,,
2,4120542614739860,,阿达奴,npc/阿达奴.swf,adanu,57,135,1413,463,0,2,,,
2,4170542615108676,,妖术狐狸,npc/狐狸.swf,huli,48,48,2370,465,0,0,,,
2,4150542615092700,,VIP大使,npc/other/节日大使.swf,jieridashi,117,151,306,615,0,0,,,
