map_id,name,xml_url,default_spawn_x,default_spawn_y,supports_transfer_in
1,云隐村,xml/1.xml,820,451,true
2,大佛村,xml/2.xml,1000,600,true
3,涧庭村,xml/3.xml,825,624,true
4,云隐村口,xml/4.xml,1000,600,true
5,云隐村口_1,xml/5.xml,1000,450,true
6,大佛村口,xml/6.xml,1000,600,true
7,卧佛谷_1,xml/7.xml,1000,600,true
8,卧佛谷_2,xml/8.xml,1000,600,true
9,云隐村口_2,xml/9.xml,1000,450,true
10,涧庭村口,xml/10.xml,180,500,true
11,涧庭道_1,xml/11.xml,200,482,true
12,涧庭道_2,xml/12.xml,1000,600,true
13,云隐山道_1,xml/13.xml,1000,600,true
14,云隐山道_2,xml/14.xml,1000,600,true
15,云隐山道_3,xml/15.xml,1000,300,true
16,云隐山道_4,xml/16.xml,1000,300,true
17,云隐山道_5,xml/17.xml,500,400,true
18,飞仙崖,xml/18.xml,1000,600,true
19,树海_1,xml/19.xml,1000,600,true
20,树海_2,xml/20.xml,1000,600,true
21,树海_3,xml/21.xml,1000,600,true
22,树海_4,xml/22.xml,1000,600,true
23,树海_5,xml/23.xml,1000,600,true
24,树海_6,xml/24.xml,1000,600,true
25,树海_7,xml/25.xml,1000,600,true
26,树海_8,xml/26.xml,1000,600,true
27,树海_9,xml/27.xml,1000,600,true
28,树海_10,xml/28.xml,1000,600,true
29,树海_11,xml/29.xml,1000,600,true
30,树洞,xml/30.xml,500,550,true
31,平原_1,xml/31.xml,1000,600,true
32,树海_13,xml/32.xml,1000,600,true
33,平原_2,xml/33.xml,1000,600,true
34,平原_3,xml/34.xml,1000,600,true
35,平原_4,xml/35.xml,1000,600,true
36,平原_5,xml/36.xml,1000,600,true
37,平原_6,xml/37.xml,1000,600,true
38,平原_7,xml/38.xml,1000,600,true
39,平原_8,xml/39.xml,1000,600,true
40,平原_9,xml/40.xml,1000,600,true
41,平原_10,xml/41.xml,1000,600,true
42,平原_11,xml/42.xml,1000,600,true
43,平原_12,xml/43.xml,1000,600,true
44,平原_13,xml/44.xml,1000,600,true
45,广青镇_1,xml/45.xml,1000,600,true
46,广青镇_2,xml/46.xml,1000,600,true
47,广青镇_3,xml/47.xml,1000,600,true
48,平原_14,xml/48.xml,1000,600,true
49,平原_15,xml/49.xml,2862,586,true
50,平原_16,xml/50.xml,131,423,true
51,平原_17,xml/51.xml,1000,600,true
52,平原_18,xml/52.xml,1000,600,true
53,平原_19,xml/53.xml,1000,600,true
54,平原_20,xml/54.xml,1000,600,true
55,平原_21,xml/55.xml,1000,600,true
56,沼泽_1,xml/56.xml,1000,600,true
57,沼泽_2,xml/57.xml,1000,600,true
58,沼泽_3,xml/58.xml,1000,600,true
59,沼泽_4,xml/59.xml,1000,600,true
60,沼泽_5,xml/60.xml,1000,600,true
61,沼泽_7,xml/61.xml,1000,600,true
62,沼泽_6,xml/62.xml,1000,600,true
63,沼泽_8,xml/63.xml,1000,600,true
64,飞仙洞_1,xml/64.xml,1000,600,true
65,飞仙洞_2,xml/65.xml,1000,600,true
66,飞仙洞_3,xml/66.xml,1000,600,true
67,飞仙洞_4,xml/67.xml,1000,600,true
68,飞仙洞_5,xml/68.xml,1000,600,true
69,飞仙洞_6,xml/69.xml,1000,600,true
70,飞仙洞_7,xml/70.xml,1000,600,true
71,飞仙洞_8,xml/71.xml,1000,600,true
72,飞仙洞_9,xml/72.xml,1000,600,true
73,飞仙洞_10,xml/73.xml,1000,600,true
74,飞仙洞_11,xml/74.xml,1000,600,true
75,飞仙洞_12,xml/75.xml,1000,600,true
76,飞仙洞_13,xml/76.xml,1000,600,true
77,飞仙洞_14,xml/77.xml,1000,600,true
78,飞仙洞_15,xml/78.xml,1000,600,true
79,黄泉路_1,xml/79.xml,2037,460,true
80,黄泉路_2,xml/80.xml,2800,486,true
81,黄泉路_3,xml/81.xml,2828,429,true
82,奈何桥,xml/82.xml,2809,433,true
83,重生台,xml/83.xml,2788,456,true
84,竹林_1,xml/84.xml,1000,600,true
85,竹林_2,xml/85.xml,1000,600,true
86,竹林_3,xml/86.xml,1000,600,true
87,竹林_4,xml/87.xml,1000,600,true
88,竹林_5,xml/88.xml,1000,600,true
89,竹林_6,xml/89.xml,1000,600,true
90,竹林_7,xml/90.xml,1000,600,true
91,竹林_8,xml/91.xml,1000,600,true
92,竹林_9,xml/92.xml,1000,600,true
93,雾岭遗迹_7,xml/93.xml,1000,600,true
94,雾岭遗迹_6,xml/94.xml,1000,600,true
95,云帝陵_1,xml/95.xml,1000,600,true
96,云帝陵_2,xml/96.xml,1000,600,true
97,竹林_10,xml/97.xml,1000,600,true
98,竹林_11,xml/98.xml,1000,600,true
99,竹林_12,xml/99.xml,1000,600,true
100,竹林_13,xml/100.xml,1000,600,true
101,竹林_14,xml/101.xml,1000,600,true
102,平原_22,xml/102.xml,1000,600,true
103,平原_23,xml/103.xml,1000,600,true
104,平原_24,xml/104.xml,1000,600,true
105,云帝陵_3,xml/105.xml,1000,600,true
106,竹林_15,xml/106.xml,1000,600,true
107,竹林_16,xml/107.xml,1000,600,true
108,卧佛谷_3,xml/108.xml,1000,600,true
109,卧佛谷_4,xml/109.xml,1000,600,true
110,卧佛谷_5,xml/110.xml,1000,600,true
111,卧佛谷_6,xml/111.xml,1000,600,true
112,卧佛谷_7,xml/112.xml,1000,600,true
113,卧佛谷_8,xml/113.xml,1000,600,true
114,卧佛谷_10,xml/114.xml,1000,600,true
115,卧佛谷_9,xml/115.xml,1000,600,true
116,卧佛谷_11,xml/116.xml,1000,600,true
117,卧佛谷_12,xml/117.xml,1000,600,true
118,卧佛谷_13,xml/118.xml,1000,600,true
119,卧佛谷_14,xml/119.xml,1000,600,true
120,卧佛谷_15,xml/120.xml,1000,600,true
121,卧佛谷_16,xml/121.xml,1000,600,true
122,黄风寨口,xml/122.xml,1000,600,true
123,涧庭山道_1,xml/123.xml,1000,600,true
124,涧庭山道_2,xml/124.xml,1000,600,true
125,涧庭山道_3,xml/125.xml,1000,600,true
126,涧庭山道_4,xml/126.xml,1000,600,true
127,观瀑台,xml/127.xml,1000,600,true
128,平原_26,xml/128.xml,1000,600,true
129,平原_25,xml/129.xml,1000,600,true
130,平原_27,xml/130.xml,1000,600,true
131,水帘洞_1,xml/131.xml,1000,600,true
132,水帘洞_2,xml/132.xml,1000,600,true
133,水帘洞_3,xml/133.xml,1000,600,true
134,水帘洞_4,xml/134.xml,1000,600,true
135,水帘洞_5,xml/135.xml,1000,600,true
136,水帘洞_6,xml/136.xml,1000,600,true
137,水帘洞_7,xml/137.xml,1000,600,true
138,水帘洞_8,xml/138.xml,1000,600,true
139,水帘洞_9,xml/139.xml,1000,600,true
140,水帘洞_10,xml/140.xml,1000,600,true
141,水帘洞_11,xml/141.xml,1000,600,true
142,水帘洞_12,xml/142.xml,1000,600,true
143,水帘洞_13,xml/143.xml,1000,600,true
144,水帘洞_14,xml/144.xml,1000,600,true
145,水帘洞_15,xml/145.xml,1000,600,true
146,黄风寨_1,xml/146.xml,1000,600,true
147,黄风寨_2,xml/147.xml,1000,600,true
148,黄风寨_3,xml/148.xml,1000,600,true
149,黄风寨_4,xml/149.xml,1000,600,true
150,黄风寨_5,xml/150.xml,1000,600,true
151,黄风寨_6,xml/151.xml,1000,600,true
152,黄风寨_7,xml/152.xml,1000,600,true
153,黄风寨_8,xml/153.xml,1000,600,true
154,黄风寨_9,xml/154.xml,1000,600,true
