map_id,map_name,handle,name,display_url,level,vocation,max_hp,max_mp,speed,attack,defense,command_label,damage_defense_type,queue_index_team,queue_index_enemy,source,encounter_handles
131,水帘洞_1,8128205778897212,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,133,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=133.000; baseline attack=129; local policy, not an original-server Attack claim",
131,水帘洞_1,8130205778898758,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,133,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=133.000; baseline attack=129; local policy, not an original-server Attack claim",
131,水帘洞_1,8132205778899676,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,133,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=133.000; baseline attack=129; local policy, not an original-server Attack claim",
132,水帘洞_2,1656205827185847,武斗蛤蟆,monstermap/kongfupanda.swf,13,战士,573,224,130,159,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=159.000; baseline attack=154; local policy, not an original-server Attack claim",
132,水帘洞_2,1658205827186196,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,136,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=136.250; baseline attack=132; local policy, not an original-server Attack claim",
132,水帘洞_2,1660205827187303,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,136,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=136.250; baseline attack=132; local policy, not an original-server Attack claim",
132,水帘洞_2,1662205827187552,武斗蛤蟆,monstermap/kongfupanda.swf,12,游侠,510,374,130,136,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=136.250; baseline attack=132; local policy, not an original-server Attack claim",
132,水帘洞_2,1664205827188995,武斗蛤蟆,monstermap/kongfupanda.swf,13,战士,573,224,130,159,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=159.000; baseline attack=154; local policy, not an original-server Attack claim",
132,水帘洞_2,1666205827189909,武斗蛤蟆,monstermap/kongfupanda.swf,13,战士,573,224,130,159,0,普通攻击,physical,1,4,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=159.000; baseline attack=154; local policy, not an original-server Attack claim",
133,水帘洞_3,8112205902790159,武斗蛤蟆,monstermap/kongfupanda.swf,14,战士,586,294,130,162,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-132-1656205827185847;visible-132-1664205827188995;visible-132-1666205827189909; baseline attack=157; local policy, not an original-server Attack claim",
133,水帘洞_3,8114205902791857,武斗蛤蟆,monstermap/kongfupanda.swf,14,战士,586,294,130,162,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-132-1656205827185847;visible-132-1664205827188995;visible-132-1666205827189909; baseline attack=157; local policy, not an original-server Attack claim",
133,水帘洞_3,8116205902792836,武斗蛤蟆,monstermap/kongfupanda.swf,14,战士,586,294,130,162,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-132-1656205827185847;visible-132-1664205827188995;visible-132-1666205827189909; baseline attack=157; local policy, not an original-server Attack claim",
133,水帘洞_3,8118205902792830,武斗蛤蟆,monstermap/kongfupanda.swf,14,战士,586,294,130,162,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-132-1656205827185847;visible-132-1664205827188995;visible-132-1666205827189909; baseline attack=157; local policy, not an original-server Attack claim",
133,水帘洞_3,8120205902793205,武斗蛤蟆,monstermap/kongfupanda.swf,14,战士,586,294,130,162,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-132-1656205827185847;visible-132-1664205827188995;visible-132-1666205827189909; baseline attack=157; local policy, not an original-server Attack claim",
133,水帘洞_3,8122205902794636,武斗蛤蟆,monstermap/kongfupanda.swf,14,战士,586,294,130,162,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-132-1656205827185847;visible-132-1664205827188995;visible-132-1666205827189909; baseline attack=157; local policy, not an original-server Attack claim",
137,水帘洞_4,4889205982270617,剑术蛤蟆,monstermap/swordpanda.swf,15,战士,640,280,130,170,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-144-2768206074548639;visible-144-2770206074548423;visible-140-8424206376338175;visible-140-8426206376339691;visible-140-8428206376340510; baseline attack=163; local policy, not an original-server Attack claim",
137,水帘洞_4,4891205982270480,剑术蛤蟆,monstermap/swordpanda.swf,15,战士,640,280,130,170,0,普通攻击,physical,1,4,"local half-defense full rerun: same monster family inherited ratio from visible-144-2768206074548639;visible-144-2770206074548423;visible-140-8424206376338175;visible-140-8426206376339691;visible-140-8428206376340510; baseline attack=163; local policy, not an original-server Attack claim",
