actor_key,label,duration_ms,travel_ms,reaction_ms,source_sha256
profession/blade-dancer,nomalAtk,800,1042,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,blade/triple,1500,1042,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,def,834,0,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,blade/execution,2750,1042,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,blade/ultimate,10667,1042,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,blade/draw,2900,1042,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,blade/phantom,2100,1042,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,blade/ghost,3040,1025,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,useItem,901,0,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,escapeSuccess,417,0,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,battleStand,50,0,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
profession/blade-dancer,yun,50,0,1042,b263c41740e3c912f73cf88dc927a2d72c10da145b53091c1ca8c5a0ff7bada7
original-monster/snow-spider,nomalAtk,1042,1418,875,7d8d06ae0aa6896f8fa0d339cb5a1fc37e0f20edd99c45accca584c2cccffe33
original-monster/snow-spider,snow-spider/silk,2200,1418,875,7d8d06ae0aa6896f8fa0d339cb5a1fc37e0f20edd99c45accca584c2cccffe33
original-monster/snow-spider,battleStand,50,0,875,7d8d06ae0aa6896f8fa0d339cb5a1fc37e0f20edd99c45accca584c2cccffe33
original-monster/snow-spider,yun,50,0,875,7d8d06ae0aa6896f8fa0d339cb5a1fc37e0f20edd99c45accca584c2cccffe33
monsterbox/barbarianbowman.swf,battleStand,1643,430,536,ff5bb790c081d8732c0f94ff0cce2e0181c55884effd438331f2b84762d8928d
